tree,sample,lat,lon,fenced,distance_from_edge,sample_type,plate,row,col,fwd_filepath,rev_filepath
g7,epi_g7,,,,,epiphyte,2,D,11,,
b6,epi_b6,,,,,epiphyte,2,E,11,,
a3,epi_a3,,,,,epiphyte,2,F,11,,
j3,epi_j3,,,,,epiphyte,2,G,11,,
i4,epi_i4,,,,,epiphyte,2,H,11,,
NA,NA,NA,NA,NA,NA,NA,2,A,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,B,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,C,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,D,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,E,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,F,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,G,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,H,12,NA,NA
