tree,sample,lat,lon,fenced,distance_from_edge,sample_type,plate,row,col,fwd_filepath,rev_filepath
a19,end_a19,38.52452,-111.75043,,,endophyte,2,C,7,,
e1,end_e1,38.52361,-111.74828,,,endophyte,2,D,7,,
c2,end_c2,38.5266,-111.74606,,,endophyte,2,E,7,,
b6,end_b6,38.5273,-111.74474,,,endophyte,2,F,7,,
a8,end_a8,38.52819,-111.74794,,,endophyte,2,G,7,,
NA,end_blank_2,NA,NA,NA,NA,endophyte,2,H,7,,
i3,end_i3,38.52399,-111.75126,,,endophyte,2,A,8,,
k3,end_k3,38.5296,-111.74644,,,endophyte,2,B,8,,
a15,end_a15,38.52631,-111.74897,,,endophyte,2,C,8,,
c6,end_c6,38.52699,-111.74737,,,endophyte,2,D,8,,
e6,end_e6,38.52402,-111.74699,,,endophyte,2,E,8,,
NA,end_blank_1,NA,NA,NA,NA,endophyte,2,F,8,,
a16,end_a16,38.52597,-111.74899,,,endophyte,2,G,8,,
g3,end_g3,38.5233,-111.7525,,,endophyte,2,H,8,,
a18,end_a18,38.5249,-111.7497,,,endophyte,2,A,9,,
d6,end_d6,38.52564,-111.74625,,,endophyte,2,B,9,,
j9,end_j9,38.52525,-111.74982,,,endophyte,2,C,9,,
d5,end_d5,38.52576,-111.7471,,,endophyte,2,D,9,,
j1,end_j1,38.52624,-111.75306,,,endophyte,2,E,9,,
j5,end_j5,38.52583,-111.75126,,,endophyte,2,F,9,,
f5,end_f5,38.52351,-111.75066,,,endophyte,2,G,9,,
a11,end_a11,38.52724,-111.74861,,,endophyte,2,H,9,,
b5,end_b5,38.52755,-111.74496,,,endophyte,2,A,10,,
c1,end_c1,38.5273,-111.74474,,,endophyte,2,B,10,,
h4,end_h4,38.52346,-111.75186,,,endophyte,2,C,10,,
k1,epi_k1,38.52937,-111.74583,,,epiphyte,2,D,10,,
h6,epi_h6,38.52331,-111.75155,,,epiphyte,2,E,10,,
f4,epi_f4,38.52332,-111.75043,,,epiphyte,2,F,10,,
c5,epi_c5,38.52682,-111.7472,,,epiphyte,2,G,10,,
a28,epi_a28,38.52147,-111.7535,,,epiphyte,2,H,10,,
j1,epi_j1,38.52624,-111.75306,,,epiphyte,2,A,11,,
e5,epi_e5,38.52389,-111.74969,,,epiphyte,2,B,11,,
h4,epi_h4,38.52346,-111.75186,,,epiphyte,2,C,11,,
g7,epi_g7,38.52478,-111.75275,,,epiphyte,2,D,11,,
b6,epi_b6,38.5273,-111.74474,,,epiphyte,2,E,11,,
a3,epi_a3,38.52878,-111.74646,,,epiphyte,2,F,11,,
j3,epi_j3,38.526,-111.75226,,,epiphyte,2,G,11,,
i4,epi_i4,38.52433,-111.75139,,,epiphyte,2,H,11,,
NA,NA,NA,NA,NA,NA,NA,2,A,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,B,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,C,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,D,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,E,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,F,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,G,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,H,12,NA,NA
